ID	CondName	AGE	ENGLISH	BORN	EDU	SEX	Q1	C1	YA1	YS	S1	Q2	C2	YA2	YS2	S2	Q3	C3	YA3	YS3	S3	Q4	C4	YA4	YS4	S4	Q5	C5	YA5	YS5	S5	Q6	C6	YA6	YS6	S6	Q7	C7	YA7	YS7	S7	Q8	C8	YA8	YS8	S8	Q9	C9	YA9	YS9	S9	Q10	C10	YA10	YS10	S10	Q11	C11	YA11	YS11	S11	Q12	C12	YA12	YS12	S12	Q13	C13	YA13	YS13	S13	Q14	C14	YA14	YS14	S14	Q15	C15	YA15	YS15	S15	Q16	C16	YA16	YS16	S16	Q17	C17	YA17	YS17	S17	Q18	C18	YA18	YS18	S18	Q19	C19	YA19	YS19	S19	Q20	C20	YA20	YS20	S20	Q21	C21	YA21	YS21	S21	Q22	C22	YA22	YS22	S22	Q23	C23	YA23	YS23	S23	Q24	C24	YA24	YS24	S24
49	Condition 2	2	4	1	5	2	1	5	yes	10	1	1	6	yes	0	1	2	4	no	4	2	1	1	yes	12	1	2	3	no	12	1	2	4	no	2	2	1	3	yes	10	1	2	5	no	12	2	2	5	no	12	2	1	4	yes	8	1	1	3	yes	0	1	1	4	yes	10	1	1	1	yes	12	1	1		yes	12	1	2	4	no	4	2	2	4	no	8	2	2	6	no	12	2	1	3	yes	10	1	1	2	yes	12	1	2	6	no	12	2	1	4	yes	0	2	2	1	no	4	2	2	4	no	4	2	2	3	no	0	2
50	Control Group	5	4	1	2	1	1	5	yes	10	1	1	4	yes	0	1	2	6	no	4	2	1	4	yes	2	2	2	4	no	0	2	2	1	no	0	2	2	5	no	12	1	2	2	no	2	1	2	4	no	8	2	1	5	yes	2	1	2	4	no	0	2	2	1	no	12	1	2	2	no	2	2	1	5	yes	0	2	2	4	no	0	2	2	5	no	10	2	2	6	no	8	2	2	4	no	2	2	2	2	no	10	1	2	5	no	10	2	2	2	no	4	2	2	5	no	0	2	2	6	no	2	2	1	2	yes	10	1
51	Condition 2	2	4	1	1	2	1	3	yes	10	1	2	3	no	0	2	2	4	no	4	2	1	0	yes	0	2	1	0	yes	0	1	2	4	no	4	2	1	1	yes	8	1	2	6	no	8	2	2	2	no	4	2	2	0	no	10	2	1	4	yes	8	1	1	0	yes	8	1	2	4	no	8	2	1	1	yes	0	1	2	0	no	12	2	1	2	yes	2	1	2	6	no	0	2	2	1	no	0	2	1	4	yes	2	1	1	3	yes	0	1	2	3	no	0	2	1	1	yes	8	1	2	0	no	8	2	2	3	no	4	2
52	Condition 2	3	4	1	6	2	1	6	yes	10	1	1	4	yes	0	1	1	4	yes	4	1	2	4	no	8	2	2	5	no	12	1	1	3	yes	2	1	1	5	yes	4	1	1	5	yes	0	2	2	6	no	10	1	1	5	yes	12	1	2	4	no	10	1	2	6	no	10	1	1	5	yes	4	2	2	3	no	2	2	2	3	no	2	2	1	4	yes	4	2	2	3	no	12	2	2	4	no	8	2	2	4	no	4	2	2	3	no	4	2	2	5	no	2	2	1	4	yes	12	1	2	2	no	4	2	1	5	yes	0	2
53	Condition 2	3	4	1	1	1	1	6	yes	10	1	1	5	yes	0	1	2	6	no	4	2	2	6	no	4	2	2	6	no	4	2	1	6	yes	12	1	2	6	no	2	2	1	6	yes	10	1	2	6	no	12	2	2	5	no	2	2	1	6	yes	12	1	2	6	no	0	2	1	6	yes	0	1	1	6	yes	4	1	1	5	yes	0	1	1	6	yes	0	2	1	5	yes	8	1	2	6	no	12	1	1	6	yes	8	1	1	6	yes	12	1	2	5	no	4	2	1	6	yes	0	1	2	6	no	10	2	2	6	no	8	2
54	Condition 1	3	4	1	5	2	1	6	yes	10	1	1	6	yes	0	1	2	6	no	4	2	1	6	yes	12	1	2	6	no	10	2	2	6	no	10	2	2	6	no	10	2	2	6	no	12	2	2	5	no	8	2	1	6	yes	2	1	2	5	no	2	2	1	6	yes	2	1	2	6	no	10	2	1	6	yes	12	1	2	6	no	10	2	2	4	no	8	2	2	6	no	4	2	2	6	no	4	2	1	6	yes	12	1	2	6	no	8	2	1	6	yes	12	1	2	6	no	12	2	2	6	no	12	2	2	6	no	10	2
55	Control Group	5	4	1	3	1	1	4	yes	10	1	2	5	no	0	1	2	5	no	4	2	2	4	no	2	2	1	5	yes	10	1	1	4	yes	10	1	2	5	no	10	2	1	6	yes	2	1	2	5	no	10	1	2	5	no	8	1	1	5	yes	0	2	2	6	no	10	1	1	5	yes	4	1	2	4	no	2	2	2	5	no	0	2	1	5	yes	4	2	1	5	yes	10	1	2	6	no	2	2	2	6	no	4	2	1	6	yes	8	1	2	6	no	4	2	1	6	yes	2	1	2	6	no	12	1	2	4	no	2	2
56	Condition 2	5	5	1	3	2	2	5	no	10	1	2	5	no	0	2	1	5	yes	4	1	2	6	no	12	2	2	6	no	12	1	2	6	no	0	2	2	6	no	0	2	2	6	no	12	2	2	5	no	4	2	1	6	yes	4	1	1	4	yes	4	1	1	4	yes	2	1	2	3	no	2	2	1	4	yes	10	1	2	6	no	8	2	1	5	yes	8	1	2	6	no	4	2	1	6	yes	8	1	1	6	yes	0	1	2	6	no	4	2	2	3	no	2	2	2	6	no	4	2	2	4	no	4	2	1	6	yes	2	1
57	Condition 2	5	4	1	2	2	1	6	yes	10	1	1	2	yes	0	2	2	3	no	4	2	2	2	no	2	2	2	2	no	2	2	1	6	yes	2	1	2	6	no	2	2	1	4	yes	0	2	2	6	no	2	2	1	6	yes	0	1	1	2	yes	12	1	1	6	yes	4	1	1	4	yes	0	2	1	6	yes	8	1	1	6	yes	10	1	2	5	no	0	2	2	5	no	2	2	2	2	no	10	1	1	4	yes	10	1	2	5	no	12	2	1	4	yes	10	1	1	1	yes	10	1	1	5	yes	0	2	2	6	no	12	1
58	Control Group	5	4	1	3	2	1	4	yes	10	1	2	4	no	0	2	1	2	yes	4	1	1	4	yes	10	1	2	5	no	8	2	2	4	no	8	2	2	4	no	12	1	2	5	no	0	2	1	5	yes	10	1	1	5	yes	0	1	2	3	no	10	1	1	4	yes	10	1	1	4	yes	10	1	1	4	yes	12	1	2	5	no	8	2	2	4	no	10	2	2	5	no	12	2	1	3	yes	2	2	1	2	yes	10	1	2	3	no	10	1	1	5	yes	12	1	1	4	yes	4	1	2	1	no	10	1	2	6	no	12	2
59	Condition 1	2	4	1	3	1	1	4	yes	10	1	2	4	no	0	2	2	4	no	4	2	1	5	yes	10	1	1	5	yes	4	1	2	3	no	12	1	2	5	no	12	1	1	5	yes	10	1	2	5	no	0	2	2	4	no	12	2	1	5	yes	4	1	1	5	yes	0	1	1	5	yes	8	1	2	4	no	8	2	1	5	yes	2	1	1	4	yes	12	1	2	5	no	10	2	1	5	yes	4	1	2	5	no	8	2	1	5	yes	10	1	1	4	yes	10	2	2	4	no	8	1	2	5	no	4	2	2	5	no	8	2
60	Condition 2	5	4	1	3	2	1	4	yes	10	1	1	3	yes	0	2	1	4	yes	4	1	1	5	yes	8	1	1	4	yes	2	2	1	4	yes	10	1	1	6	yes	2	1	2	6	no	8	2	2	6	no	8	1	1	6	yes	2	2	2	6	no	0	1	2	3	no	4	2	2	6	no	4	2	1	6	yes	10	1	2	6	no	2	2	1	5	yes	0	2	2	6	no	0	2	1	5	yes	8	1	1	5	yes	2	1	2	2	no	2	1	1	0	yes	8	1	1	5	yes	0	2	1	3	yes	2	2	2	4	no	10	1
61	Condition 2	3	4	1	3	2	1	5	yes	10	1	2	5	no	0	2	2	5	no	4	2	1	4	yes	8	1	1	5	yes	10	1	2	5	no	12	2	1	5	yes	10	1	2	5	no	12	2	2	5	no	0	2	1	5	yes	4	1	2	5	no	8	2	1	5	yes	2	1	2	5	no	12	2	2	4	no	4	2	2	5	no	0	2	2	5	no	2	2	2	5	no	8	2	1	5	yes	12	1	1	5	yes	12	1	2	5	no	2	2	1	5	yes	8	1	1	5	yes	10	1	1	5	yes	8	1	2	5	no	0	2
62	Condition 1	3	4	1	1	1	2	6	no	10	2	2	3	no	0	2	1	4	yes	4	1	2	4	no	4	2	2	5	no	12	2	1	5	yes	0	1	1	4	yes	4	1	1	4	yes	10	1	2	2	no	2	2	2	3	no	8	2	1	5	yes	2	1	2	6	no	12	2	2	1	no	12	1	1	4	yes	8	1	1	5	yes	4	1	1	5	yes	10	1	1	5	yes	2	1	2	3	no	12	2	2	4	no	0	2	1	5	yes	8	1	2	5	no	4	2	2	5	no	2	2	2	3	no	0	2	1	5	yes	12	1
63	Condition 1	2	4	1	5	1	2	3	no	10	1	2	3	no	0	1	1	3	yes	4	1	1	4	yes	4	2	2	3	no	8	2	1	4	yes	2	1	1	4	yes	0	1	2	4	no	4	2	2	4	no	12	2	1	4	yes	12	1	2	3	no	10	2	1	3	yes	12	1	1	4	yes	0	1	1	4	yes	12	1	2	4	no	4	2	1	5	yes	12	1	2	5	no	12	2	1	3	yes	0	1	2	4	no	4	2	2	4	no	4	2	1	4	yes	2	1	2	4	no	12	2	2	5	no	2	2	2	5	no	8	2
64	Condition 1	5	4	1	4	2	1	4	yes	10	1	2	2	no	0	1	2	3	no	4	2	2	1	no	10	1	1	2	yes	4	2	1	2	yes	8	1	1	2	yes	8	2	2	5	no	2	2	2	2	no	2	2	2	2	no	10	1	1	4	yes	12	1	1	3	yes	8	1	1	3	yes	10	1	1	2	yes	0	2	1	4	yes	10	1	2	2	no	4	2	2	5	no	8	2	1	1	yes	10	1	2	3	no	8	2	1	4	yes	12	1	2	3	no	10	2	1	4	yes	2	1	2	3	no	10	2	1	3	yes	10	1
65	Control Group	3	4	1	2	2	2	6	no	10	2	1	6	yes	0	1	1	6	yes	4	1	1	5	yes	10	1	1	6	yes	0	1	1	6	yes	12	1	2	6	no	0	2	2	6	no	8	2	2	6	no	4	2	1	6	yes	12	1	2	6	no	0	2	1	6	yes	10	1	2	5	no	2	2	1	6	yes	2	1	2	6	no	2	2	2	5	no	12	2	2	6	no	4	2	2	6	no	2	2	1	6	yes	0	1	2	6	no	12	2	1	6	yes	12	1	1	4	yes	10	1	2	6	no	12	2	2	6	no	0	2
66	Condition 2	2	4	1	1	2	2	1	no	10	1	1	2	yes	0	2	1	1	yes	4	1	2	5	no	4	2	2	6	no	0	2	1	4	yes	4	1	1	5	yes	4	1	2	6	no	2	2	2	4	no	10	1	1	4	yes	4	1	2	4	no	4	2	2	0	no	0	2	2	5	no	4	2	1	0	yes	0	1	2	6	no	8	2	1	3	yes	8	1	2	5	no	8	1	1	1	yes	8	1	1	5	yes	8	1	2	5	no	8	2	1	2	yes	10	1	2	1	no	12	1	2	1	no	2	2	2	3	no	4	2
67	Condition 1	2	5	1	1	1	1	5	yes	10	1	2	5	no	0	2	1	4	yes	4	1	2	1	no	12	2	2	1	no	10	2	2	4	no	4	2	1	4	yes	8	1	2	6	no	4	2	1	4	yes	12	1	1	4	yes	0	1	1	4	yes	2	1	2	4	no	12	2	2	2	no	2	2	2	5	no	4	2	2	5	no	12	2	2	2	no	2	2	2	6	no	0	2	2	6	no	10	2	1	4	yes	12	1	2	3	no	0	2	1	5	yes	8	1	2	5	no	0	2	1	4	yes	8	1	1	4	yes	2	1
68	Condition 2	5	4	1	3	1	2	6	no	10	2	2	6	no	0	2	1	6	yes	4	1	2	6	no	2	2	1	5	yes	2	2	2	5	no	10	1	2	6	no	4	2	1	6	yes	4	1	2	6	no	8	2	1	6	yes	2	1	2	5	no	10	1	2	6	no	8	2	1	6	yes	0	1	1	6	yes	10	1	1	6	yes	10	1	1	6	yes	4	1	2	5	no	10	2	1	6	yes	12	1	2	6	no	4	2	1	6	yes	10	1	1	5	yes	2	1	1	6	yes	8	1	2	6	no	4	2	2	5	no	4	2
69	Control Group	3	4	1	5	2	1	4	yes	10	1	2	4	no	0	2	1	5	yes	4	1	1	3	yes	2	1	2	6	no	4	2	2	6	no	8	2	1	6	yes	2	1	2	6	no	0	2	2	6	no	0	2	1	6	yes	10	1	2	5	no	8	2	1	6	yes	0	1	2	5	no	10	2	1	6	yes	2	1	2	6	no	4	2	1	6	yes	8	1	2	6	no	12	2	2	3	no	4	2	1	6	yes	2	1	2	6	no	2	2	1	5	yes	0	1	1	3	yes	4	1	2	6	no	12	2	2	6	no	0	2
70	Condition 1	3	4	1	1	2	2	6	no	10	2	2	4	no	0	2	1	5	yes	4	2	1	4	yes	0	2	1	4	yes	8	1	2	4	no	2	2	1	2	yes	0	2	2	5	no	12	1	2	5	no	8	2	1	4	yes	8	1	2	2	no	12	1	1	3	yes	2	2	2	3	no	8	1	2	5	no	4	2	1	4	yes	0	2	2	2	no	10	1	2	4	no	2	2	2	2	no	8	1	1	5	yes	10	1	1	5	yes	0	2	1	5	yes	12	1	1	5	yes	8	1	1	4	yes	0	2	1	3	yes	8	1
71	Control Group	3	4	1	3	2	2	4	no	10	2	1	4	yes	0	1	2	3	no	4	2	2	3	no	8	2	1	3	yes	12	1	1	3	yes	0	2	1	4	yes	12	1	2	3	no	10	2	1	3	yes	10	1	1	3	yes	8	1	1	4	yes	2	1	2	3	no	4	2	1	3	yes	12	1	1	3	yes	12	1	2	3	no	0	2	1	3	yes	0	1	2	3	no	4	2	2	4	no	12	2	2	3	no	8	2	2	3	no	4	2	1	3	yes	4	2	1	3	yes	0	2	1	3	yes	10	1	1	4	yes	10	1
72	Control Group	2	4	1	2	2	1	4	yes	10	1	2	2	no	0	2	1	3	yes	4	2	2	4	no	12	1	1	4	yes	12	1	1	3	yes	8	1	2	5	no	10	2	2	5	no	10	2	1	2	yes	2	1	1	6	yes	2	1	2	6	no	12	2	1	5	yes	2	2	2	4	no	10	2	1	4	yes	8	1	2	4	no	8	2	1	3	yes	8	1	2	4	no	4	2	1	4	yes	0	2	1	4	yes	2	1	1	5	yes	2	1	2	1	no	0	2	2	4	no	10	1	1	4	yes	4	1	2	5	no	2	2
73	Control Group	5	4	1	3	2	2	1	no	10	2	1	4	yes	0	1	2	3	no	4	2	2	4	no	4	2	1	1	yes	4	2	1	6	yes	10	1	1	0	yes	10	1	2	6	no	12	2	1	6	yes	0	1	1	3	yes	0	2	1	2	yes	0	1	1	4	yes	0	1	1	5	yes	0	1	1	5	yes	8	1	2	6	no	4	2	2	4	no	2	2	2	6	no	12	1	1	0	yes	2	2	1	6	yes	12	1	2	4	no	12	2	2	3	no	4	2	1	5	yes	12	1	2	6	no	2	2	1	3	yes	4	2
74	Condition 1	5	4	1	3	1	1	5	yes	10	1	1	3	yes	0	2	1	4	yes	4	1	1	5	yes	12	1	2	5	no	0	1	2	6	no	0	1	1	6	yes	0	1	2	6	no	4	1	1	3	yes	12	1	1	6	yes	4	1	2	5	no	8	1	1	4	yes	12	1	2	5	no	12	1	1	6	yes	2	1	2	5	no	12	1	1	5	yes	10	1	2	5	no	8	1	1	6	yes	4	2	1	4	yes	4	1	2	6	no	10	1	1	5	yes	2	1	2	3	no	4	1	1	4	yes	8	1	2	6	no	2	1
75	Condition 2	2	4	1	4	1	2	4	no	10	2	1	3	yes	0	1	1	3	yes	4	1	1	4	yes	10	1	2	3	no	8	2	2	5	no	12	2	1	5	yes	12	1	2	5	no	2	2	2	5	no	4	2	1	4	yes	10	1	1	5	yes	4	2	1	5	yes	8	1	2	3	no	4	2	1	4	yes	12	1	2	4	no	10	2	1	5	yes	4	2	2	4	no	2	2	2	3	no	10	2	1	5	yes	0	1	2	4	no	8	2	1	3	yes	8	1	2	5	no	2	2	2	5	no	0	2	2	2	no	12	2
76	Control Group	5	4	1	4	1	1	6	yes	10	1	2	1	no	0	2	1	3	yes	4	1	2	6	no	0	2	2	2	no	0	2	1	4	yes	10	1	1	6	yes	2	1	2	6	no	0	2	1	4	yes	2	1	1	2	yes	2	1	1	4	yes	2	1	2	4	no	0	2	1	4	yes	8	1	1	4	yes	0	1	2	6	no	8	2	2	4	no	12	2	2	6	no	10	2	1	4	yes	2	1	1	3	yes	8	1	2	2	no	2	2	2	5	no	2	2	2	6	no	8	2	1	4	yes	12	1	2	6	no	10	2
77	Control Group	2	4	1	3	2	1	4	yes	10	1	2	6	no	0	2	1	5	yes	4	2	2	6	no	2	2	1	6	yes	2	2	2	6	no	2	2	1	4	yes	4	1	2	6	no	8	2	2	6	no	10	1	1	5	yes	10	1	2	5	no	10	2	1	5	yes	10	1	2	5	no	8	2	1	5	yes	4	1	2	6	no	4	2	2	3	no	12	1	2	6	no	8	2	2	5	no	12	1	1	4	yes	2	2	2	6	no	4	2	2	6	no	10	2	1	5	yes	12	1	1	3	yes	2	2	2	6	no	12	2
78	Condition 1	2	4	1	4	1	1	6	yes	10	1	2	6	no	0	2	2	6	no	4	2	2	6	no	8	2	2	6	no	10	2	2	6	no	4	2	1	6	yes	8	1	2	6	no	4	2	1	6	yes	4	1	1	6	yes	12	1	1	6	yes	10	1	1	3	yes	4	1	2	6	no	2	2	1	6	yes	10	1	2	6	no	2	2	1	6	yes	0	1	2	6	no	0	2	1	6	yes	10	1	1	6	yes	10	1	2	6	no	0	2	1	6	yes	12	1	2	6	no	4	2	2	6	no	10	2	2	6	no	8	2
79	Condition 2	2	4	1	1	2	2	0	no	10	2	2	5	no	0	2	1	3	yes	4	1	1	3	yes	0	1	1	3	yes	4	1	1	3	yes	4	1	2	5	no	0	2	2	6	no	0	2	1	3	yes	8	1	1	3	yes	12	1	1	3	yes	4	2	2	4	no	4	2	1	3	yes	12	1	1	3	yes	4	1	2	3	no	12	2	1	3	yes	0	2	2	2	no	2	2	2	4	no	0	2	1	3	yes	4	1	2	3	no	4	2	1	0	yes	10	1	1	3	yes	0	1	1	3	yes	12	1	1	3	yes	0	1
80	Condition 2	3	4	1	5	1	1	5	yes	10	1	1	4	yes	0	2	2	4	no	4	2	1	4	yes	10	1	2	5	no	12	2	2	6	no	12	2	1	5	yes	4	1	2	6	no	10	2	1	4	yes	12	1	1	5	yes	4	1	2	5	no	12	2	1	3	yes	10	1	2	5	no	0	2	1	2	yes	10	1	2	6	no	0	2	1	4	yes	2	1	2	6	no	10	2	1	4	yes	8	2	1	4	yes	12	1	2	6	no	0	2	1	4	yes	0	1	2	5	no	10	2	1	4	yes	0	2	2	6	no	12	2
81	Control Group	2	4	1	5	2	1	4	yes	10	1	2	4	no	0	2	1	3	yes	4	1	1	3	yes	8	1	2	3	no	2	2	2	4	no	2	2	1	4	yes	12	1	2	4	no	12	2	1	4	yes	0	1	1	4	yes	0	1	1	4	yes	0	1	1	3	yes	12	1	2	4	no	10	2	1	3	yes	0	1	2	4	no	2	2	1	4	yes	10	1	2	4	no	12	2	1	2	yes	10	1	1	4	yes	10	1	2	4	no	10	2	1	3	yes	4	1	2	3	no	2	2	2	4	no	8	2	2	4	no	8	2
82	Condition 2	3	4	1	3	1	1		yes	10	1	1	4	yes	0	1	2	5	no	4	2	1	4	yes	12	1	1	5	yes	10	1	1	4	yes	8	1	1	4	yes	10	1	1	4	yes	8	1	1	4	yes	10	1	1	4	yes	8	1	1	5	yes	8	1	2	3	no	2	1	1	4	yes	4	1	1	4	yes	12	1	2	5	no	2	2	1	4	yes	8	1	1	3	yes	0	2	1	5	yes	0	2	2	4	no	10	2	1	4	yes	12	1	1	4	yes	12	1	1	4	yes	8	1	1	4	yes	4	1	1	4	yes	2	2
83	Condition 1	3	4	1	1	1	2	6	no	10	2	1	6	yes	0	1	1	6	yes	4	1	1	6	yes	2	1	1	6	yes	8	2	2	6	no	0	2	2	6	no	12	2	1	6	yes	4	1	1	6	yes	4	1	1	6	yes	0	1	2	6	no	12	2	1	6	yes	12	1	2	6	no	2	2	1	6	yes	2	1	2	6	no	8	2	1	6	yes	8	1	2	6	no	8	2	2	6	no	12	2	2	6	no	4	2	1	6	yes	4	1	1	6	yes	8	1	1	6	yes	4	1	1	6	yes	10	1	1	6	yes	4	1
84	Control Group	3	4	1	3	1	2	6	no	10	2	1	5	yes	0	1	2	4	no	4	2	1	5	yes	2	1	2	5	no	2	2	1	5	yes	10	1	2	4	no	8	2	1	5	yes	8	1	2	5	no	2	2	1	5	yes	12	1	1	5	yes	0	1	2	5	no	2	2	1	6	yes	12	1	1	5	yes	4	1	2	6	no	4	2	1	5	yes	0	1	2	5	no	12	2	2	5	no	4	2	2	5	no	2	2	1	6	yes	12	1	2	5	no	4	2	2	4	no	12	2	2	6	no	12	2	1	6	yes	10	1
85	Condition 2	2	4	1	5	2	1	5	yes	10	1	1	4	yes	0	1	2	2	no	4	2	1	1	yes	4	1	2	0	no	4	2	1	3	yes	8	1	1	4	yes	2	1	2	5	no	12	2	2	4	no	8	2	1	1	yes	2	2	1	2	yes	2	1	2	1	no	8	2	1	2	yes	4	1	1	2	yes	0	1	2	4	no	12	2	1	2	yes	12	1	2	6	no	2	2	2	0	no	2	2	1	5	yes	0	1	2	2	no	10	2	2	0	no	10	2	2	1	no	2	2	1	2	yes	2	2	2	0	no	0	2
86	Control Group	5	4	1	2	2	2	3	no	10	1	2	2	no	0	1	1	4	yes	4	1	2	4	no	8	2	1	2	yes	10	1	1	2	yes	4	2	1	4	yes	10	1	2	4	no	0	2	1	3	yes	0	1	1	4	yes	10	1	2	2	no	2	2	2	3	no	4	2	2	4	no	10	2	1	4	yes	8	1	2	2	no	8	2	1	3	yes	4	1	2	4	no	4	2	2	2	no	2	2	2	4	no	12	2	2	2	no	8	1	2	2	no	8	1	2	4	no	0	2	2	2	no	4	2	1	4	yes	4	1
87	Condition 1	5	4	1	2	1	1	5	yes	10	1	1	6	yes	0	1	1	4	yes	4	1	1	3	yes	10	1	2	2	no	2	2	2	4	no	0	2	1	2	yes	0	1	2	2	no	12	2	1	4	yes	10	1	1	5	yes	8	1	2	6	no	12	2	1	0	yes	0	2	1	3	yes	8	1	1	1	yes	12	1	1	0	yes	2	2	1	0	yes	4	2	2	6	no	0	2	1	0	yes	8	1	2	1	no	8	2	2	6	no	4	2	2	3	no	2	2	1	4	yes	8	1	2	0	no	10	1	2	6	no	8	2
88	Condition 1	2	4	1	5	2	1	4	yes	10	1	2	4	no	0	2	2	4	no	4	2	2	5	no	12	1	1	3	yes	0	2	2	5	no	4	2	1	4	yes	8	1	2	6	no	0	2	1	4	yes	8	1	1	6	yes	2	1	1	4	yes	10	1	1	4	yes	0	2	2	5	no	8	2	2	4	no	2	2	2	5	no	12	2	1	4	yes	10	1	2	6	no	12	2	1	5	yes	4	1	1	6	yes	0	1	2	3	no	2	2	1	5	yes	0	1	2	5	no	0	2	2	5	no	8	2	2	5	no	2	2
89	Condition 2	3	4	1	2	2	1	5	yes	10	1	1	5	yes	0	1	1	5	yes	4	1	2	4	no	8	1	1	3	yes	0	2	2	4	no	2	2	1	4	yes	0	2	2	4	no	2	2	2	5	no	4	2	2	4	no	8	2	1	3	yes	4	2	1	4	yes	4	2	2	4	no	2	2	1	5	yes	8	1	2	5	no	10	2	1	4	yes	8	1	2	4	no	0	2	2	4	no	12	1	2	4	no	8	2	2	4	no	0	2	1	4	yes	2	2	1	4	yes	2	2	2	4	no	2	2	2	4	no	8	2
90	Condition 1	2	4	1	1	1	1	6	yes	10	1	1	5	yes	0	1	2	4	no	4	2	2	4	no	2	2	1	6	yes	8	1	2	5	no	0	2	2	5	no	12	2	1	6	yes	10	1	2	3	no	12	2	1	6	yes	0	1	1	5	yes	0	1	1	5	yes	8	1	1	6	yes	12	1	1	6	yes	4	1	2	4	no	10	2	2	3	no	0	2	1	6	yes	4	1	2	4	no	2	2	1	6	yes	4	1	1	6	yes	12	1	2	5	no	10	2	2	2	no	4	2	1	5	yes	8	1	1	6	yes	2	1
91	Condition 2	2	4	1	5	1	1	3	yes	10	1	1	4	yes	0	2	2	2	no	4	2	1	2	yes	12	1	2	4	no	4	2	1	4	yes	10	1	1	2	yes	2	2	1	4	yes	2	1	2	5	no	0	2	2	3	no	4	2	1	5	yes	8	1	2	4	no	2	2	1	5	yes	2	1	1	2	yes	2	2	2	4	no	4	2	2	3	no	2	2	1	3	yes	8	1	2	5	no	0	2	2	4	no	10	1	1	4	yes	8	1	2	2	no	8	1	1	4	yes	12	1	2	2	no	10	1	1	5	yes	10	1
92	Control Group	3	4	1	3	1	1	5	yes	10	1	2	3	no	0	2	1	1	yes	4	2	1	3	yes	4	1	2	2	no	8	2	1	3	yes	12	1	1	4	yes	10	1	2	4	no	8	2	2	4	no	4	2	1	4	yes	2	1	1	4	yes	4	1	2	4	no	12	2	2	2	no	0	2	1	3	yes	8	1	1	2	yes	8	1	1	3	yes	12	1	2	4	no	2	2	2	5	no	8	2	2	3	no	0	2	2	4	no	10	2	2	1	no	4	2	2	4	no	0	2	1	4	yes	10	1	2	4	no	4	2
93	Control Group	2	4	1	1	1	1	5	yes	10	1	2	5	no	0	2	1	5	yes	4	1	1	5	yes	0	1	1	4	yes	10	1	2	6	no	2	1	1	5	yes	4	1	2	6	no	12	2	1	5	yes	8	1	1	5	yes	10	1	2	5	no	12	2	1	6	yes	12	1	1	5	yes	4	1	1	5	yes	10	1	2	6	no	2	2	1	5	yes	10	1	2	6	no	2	2	1	5	yes	10	1	2	4	no	2	2	2	6	no	2	2	1	5	yes	12	1	2	6	no	8	2	1	5	yes	12	1	2	5	no	12	2
94	Control Group	3	4	1	1	1	1	5	yes	10	1	2	5	no	0	2	1	4	yes	4	1	1	4	yes	4	1	2	5	no	0	2	1	5	yes	2	1	1	5	yes	0	1	1	5	yes	0	1	1	5	yes	0	1	2	5	no	10	2	1	6	yes	2	1	2	6	no	0	2	1	5	yes	0	1	1	4	yes	8	1	2	5	no	12	2	1	5	yes	12	1	1	5	yes	0	1	2	5	no	12	2	1	5	yes	2	1	1	5	yes	2	1	1	4	yes	0	1	1	5	yes	8	1	1	5	yes	4	1	1	6	yes	12	1
95	Condition 2	2	4	1	3	1	1	3	yes	10	1	1	1	yes	0	1	1	3	yes	4	1	2	2	no	0	2	1	2	yes	0	1	2	2	no	8	2	1	4	yes	10	1	2	6	no	4	2	2	6	no	10	2	1	2	yes	8	1	2	4	no	8	2	2	4	no	10	2	2	5	no	10	2	2	2	no	12	2	2	6	no	10	2	1	3	yes	10	1	2	6	no	12	2	2	4	no	10	2	2	5	no	8	2	2	6	no	4	2	2	5	no	4	2	2	6	no	10	2	1	3	yes	2	1	2	5	no	8	2
96	Condition 1	2	4	1	5	1	1	5	yes	10	1	1	5	yes	0	1	2	4	no	4	2	1	1	yes	10	1	1	6	yes	12	1	1	5	yes	4	1	1	5	yes	8	1	2	6	no	4	2	2	4	no	4	2	1	4	yes	12	1	2	6	no	10	2	2	5	no	4	2	1	6	yes	8	1	1	6	yes	0	1	2	6	no	0	2	2	5	no	4	2	2	6	no	10	2	1	4	yes	4	1	1	5	yes	0	1	2	6	no	0	2	1	6	yes	12	1	1	5	yes	2	1	1	2	yes	0	1	1	1	yes	0	1
97	Condition 1	5	4	1	2	1	1	5	yes	10	1	1	5	yes	0	2	1	4	yes	4	2	1	4	yes	8	1	2	3	no	12	1	1	4	yes	10	1	2	4	no	8	1	1	6	yes	2	2	1	5	yes	8	1	2	6	no	2	2	2	4	no	10	1	1	4	yes	10	1	2	4	no	10	1	1	6	yes	0	2	1	4	yes	2	2	2	5	no	0	2	2	6	no	12	1	1	4	yes	4	2	2	6	no	12	1	1	4	yes	2	2	1	3	yes	2	2	1	4	yes	2	2	1	5	yes	0	2	1	4	yes	4	2
98	Control Group	5	5	1	2	2	2	4	no	10	2	2	3	no	0	2	1	2	yes	4	1	1	2	yes	12	1	1	3	yes	2	2	1	2	yes	2	2	1	2	yes	10	1	1	2	yes	12	1	2	1	no	2	2	1	5	yes	8	1	1	2	yes	4	1	1	3	yes	4	1	2	1	no	4	2	1	5	yes	4	1	2	4	no	0	2	1	5	yes	4	1	2	5	no	0	2	2	1	no	12	1	1	4	yes	8	1	2	2	no	8	1	1	4	yes	12	1	2	4	no	10	2	2	4	no	12	1	1	2	yes	12	1
